pmcid,sid,sent,text,span,tag
PMC6032655,19,"Therefore, accurate preoperative diagnosis of renal AMLs is critical to prevent unnecessary nephrectomies and preserve renal functions [4]. ",,"(124, 124)",DS
PMC6032655,19,"Therefore, accurate preoperative diagnosis of renal AMLs is critical to prevent unnecessary nephrectomies and preserve renal functions [4]. ",,"(69, 69)",DS
PMC6032655,19,"Therefore, accurate preoperative diagnosis of renal AMLs is critical to prevent unnecessary nephrectomies and preserve renal functions [4]. ",,"(59, 59)",DS
PMC6032655,19,"Therefore, accurate preoperative diagnosis of renal AMLs is critical to prevent unnecessary nephrectomies and preserve renal functions [4]. ",,"(72, 72)",DS
PMC6032655,19,"Therefore, accurate preoperative diagnosis of renal AMLs is critical to prevent unnecessary nephrectomies and preserve renal functions [4]. ",,"(125, 125)",DS
PMC6032655,19,"Therefore, accurate preoperative diagnosis of renal AMLs is critical to prevent unnecessary nephrectomies and preserve renal functions [4]. ",,"(136, 136)",DS
PMC6032655,19,"Therefore, accurate preoperative diagnosis of renal AMLs is critical to prevent unnecessary nephrectomies and preserve renal functions [4]. ",,"(134, 134)",DS
PMC6032655,19,"Therefore, accurate preoperative diagnosis of renal AMLs is critical to prevent unnecessary nephrectomies and preserve renal functions [4]. ",,"(79, 79)",DS
PMC6032655,19,"Therefore, accurate preoperative diagnosis of renal AMLs is critical to prevent unnecessary nephrectomies and preserve renal functions [4]. ",,"(52, 52)",DS
PMC6032655,20,The purpose of this review is to provide a radiological classification of renal AML that contributes to the understanding and diagnosis of the different types and the appropriate therapeutic management and follow-up. ,,"(43, 43)",DS
PMC6032655,20,The purpose of this review is to provide a radiological classification of renal AML that contributes to the understanding and diagnosis of the different types and the appropriate therapeutic management and follow-up. ,,"(107, 107)",DS
PMC6032655,20,The purpose of this review is to provide a radiological classification of renal AML that contributes to the understanding and diagnosis of the different types and the appropriate therapeutic management and follow-up. ,,"(88, 88)",DS
PMC6032655,20,The purpose of this review is to provide a radiological classification of renal AML that contributes to the understanding and diagnosis of the different types and the appropriate therapeutic management and follow-up. ,,"(152, 152)",DS
PMC6032655,20,The purpose of this review is to provide a radiological classification of renal AML that contributes to the understanding and diagnosis of the different types and the appropriate therapeutic management and follow-up. ,,"(179, 179)",DS
PMC6032655,20,The purpose of this review is to provide a radiological classification of renal AML that contributes to the understanding and diagnosis of the different types and the appropriate therapeutic management and follow-up. ,,"(213, 213)",DS
PMC6032655,20,The purpose of this review is to provide a radiological classification of renal AML that contributes to the understanding and diagnosis of the different types and the appropriate therapeutic management and follow-up. ,,"(205, 205)",DS
PMC6032655,20,The purpose of this review is to provide a radiological classification of renal AML that contributes to the understanding and diagnosis of the different types and the appropriate therapeutic management and follow-up. ,,"(0, 0)",DS
PMC6032655,20,The purpose of this review is to provide a radiological classification of renal AML that contributes to the understanding and diagnosis of the different types and the appropriate therapeutic management and follow-up. ,,"(42, 42)",DS
PMC6032655,20,The purpose of this review is to provide a radiological classification of renal AML that contributes to the understanding and diagnosis of the different types and the appropriate therapeutic management and follow-up. ,,"(74, 74)",DS
PMC6032655,20,The purpose of this review is to provide a radiological classification of renal AML that contributes to the understanding and diagnosis of the different types and the appropriate therapeutic management and follow-up. ,,"(202, 202)",DS
PMC6032655,20,The purpose of this review is to provide a radiological classification of renal AML that contributes to the understanding and diagnosis of the different types and the appropriate therapeutic management and follow-up. ,,"(27, 27)",DS
PMC6032655,20,The purpose of this review is to provide a radiological classification of renal AML that contributes to the understanding and diagnosis of the different types and the appropriate therapeutic management and follow-up. ,,"(101, 101)",DS
PMC6032655,20,The purpose of this review is to provide a radiological classification of renal AML that contributes to the understanding and diagnosis of the different types and the appropriate therapeutic management and follow-up. ,,"(163, 163)",DS
PMC6032655,20,The purpose of this review is to provide a radiological classification of renal AML that contributes to the understanding and diagnosis of the different types and the appropriate therapeutic management and follow-up. ,,"(71, 71)",DS
PMC6032655,20,The purpose of this review is to provide a radiological classification of renal AML that contributes to the understanding and diagnosis of the different types and the appropriate therapeutic management and follow-up. ,,"(121, 121)",DS
PMC6032655,20,The purpose of this review is to provide a radiological classification of renal AML that contributes to the understanding and diagnosis of the different types and the appropriate therapeutic management and follow-up. ,,"(135, 135)",DS
PMC6032655,20,The purpose of this review is to provide a radiological classification of renal AML that contributes to the understanding and diagnosis of the different types and the appropriate therapeutic management and follow-up. ,,"(26, 26)",DS
PMC6032655,20,The purpose of this review is to provide a radiological classification of renal AML that contributes to the understanding and diagnosis of the different types and the appropriate therapeutic management and follow-up. ,,"(166, 166)",DS
PMC6032655,20,The purpose of this review is to provide a radiological classification of renal AML that contributes to the understanding and diagnosis of the different types and the appropriate therapeutic management and follow-up. ,,"(33, 33)",DS
PMC6032655,20,The purpose of this review is to provide a radiological classification of renal AML that contributes to the understanding and diagnosis of the different types and the appropriate therapeutic management and follow-up. ,,"(56, 56)",DS
PMC6032655,20,The purpose of this review is to provide a radiological classification of renal AML that contributes to the understanding and diagnosis of the different types and the appropriate therapeutic management and follow-up. ,,"(14, 14)",DS
PMC6032655,20,The purpose of this review is to provide a radiological classification of renal AML that contributes to the understanding and diagnosis of the different types and the appropriate therapeutic management and follow-up. ,,"(126, 126)",DS
PMC6032655,20,The purpose of this review is to provide a radiological classification of renal AML that contributes to the understanding and diagnosis of the different types and the appropriate therapeutic management and follow-up. ,,"(55, 55)",DS
PMC6032655,20,The purpose of this review is to provide a radiological classification of renal AML that contributes to the understanding and diagnosis of the different types and the appropriate therapeutic management and follow-up. ,,"(73, 73)",DS
PMC6032655,20,The purpose of this review is to provide a radiological classification of renal AML that contributes to the understanding and diagnosis of the different types and the appropriate therapeutic management and follow-up. ,,"(142, 142)",DS
PMC6032655,20,The purpose of this review is to provide a radiological classification of renal AML that contributes to the understanding and diagnosis of the different types and the appropriate therapeutic management and follow-up. ,,"(201, 201)",DS
PMC6032655,20,The purpose of this review is to provide a radiological classification of renal AML that contributes to the understanding and diagnosis of the different types and the appropriate therapeutic management and follow-up. ,,"(32, 32)",DS
PMC6032655,20,The purpose of this review is to provide a radiological classification of renal AML that contributes to the understanding and diagnosis of the different types and the appropriate therapeutic management and follow-up. ,,"(80, 80)",DS
PMC6032655,20,The purpose of this review is to provide a radiological classification of renal AML that contributes to the understanding and diagnosis of the different types and the appropriate therapeutic management and follow-up. ,,"(4, 4)",DS
PMC6032655,20,The purpose of this review is to provide a radiological classification of renal AML that contributes to the understanding and diagnosis of the different types and the appropriate therapeutic management and follow-up. ,,"(104, 104)",DS
PMC6032655,20,The purpose of this review is to provide a radiological classification of renal AML that contributes to the understanding and diagnosis of the different types and the appropriate therapeutic management and follow-up. ,,"(136, 136)",DS
PMC6032655,20,The purpose of this review is to provide a radiological classification of renal AML that contributes to the understanding and diagnosis of the different types and the appropriate therapeutic management and follow-up. ,,"(89, 89)",DS
PMC6032655,20,The purpose of this review is to provide a radiological classification of renal AML that contributes to the understanding and diagnosis of the different types and the appropriate therapeutic management and follow-up. ,,"(167, 167)",DS
PMC6032655,20,The purpose of this review is to provide a radiological classification of renal AML that contributes to the understanding and diagnosis of the different types and the appropriate therapeutic management and follow-up. ,,"(108, 108)",DS
PMC6032655,20,The purpose of this review is to provide a radiological classification of renal AML that contributes to the understanding and diagnosis of the different types and the appropriate therapeutic management and follow-up. ,,"(70, 70)",DS
PMC6032655,20,The purpose of this review is to provide a radiological classification of renal AML that contributes to the understanding and diagnosis of the different types and the appropriate therapeutic management and follow-up. ,,"(143, 143)",DS
PMC6032655,20,The purpose of this review is to provide a radiological classification of renal AML that contributes to the understanding and diagnosis of the different types and the appropriate therapeutic management and follow-up. ,,"(79, 79)",DS
PMC6032655,20,The purpose of this review is to provide a radiological classification of renal AML that contributes to the understanding and diagnosis of the different types and the appropriate therapeutic management and follow-up. ,,"(212, 212)",DS
PMC6032655,20,The purpose of this review is to provide a radiological classification of renal AML that contributes to the understanding and diagnosis of the different types and the appropriate therapeutic management and follow-up. ,,"(84, 84)",DS
PMC6032655,20,The purpose of this review is to provide a radiological classification of renal AML that contributes to the understanding and diagnosis of the different types and the appropriate therapeutic management and follow-up. ,,"(15, 15)",DS
PMC6032655,20,The purpose of this review is to provide a radiological classification of renal AML that contributes to the understanding and diagnosis of the different types and the appropriate therapeutic management and follow-up. ,,"(20, 20)",DS
PMC6032655,20,The purpose of this review is to provide a radiological classification of renal AML that contributes to the understanding and diagnosis of the different types and the appropriate therapeutic management and follow-up. ,,"(11, 11)",DS
PMC6032655,20,The purpose of this review is to provide a radiological classification of renal AML that contributes to the understanding and diagnosis of the different types and the appropriate therapeutic management and follow-up. ,,"(19, 19)",DS
PMC6032655,20,The purpose of this review is to provide a radiological classification of renal AML that contributes to the understanding and diagnosis of the different types and the appropriate therapeutic management and follow-up. ,,"(83, 83)",DS
PMC6032655,20,The purpose of this review is to provide a radiological classification of renal AML that contributes to the understanding and diagnosis of the different types and the appropriate therapeutic management and follow-up. ,,"(139, 139)",DS
PMC6032655,20,The purpose of this review is to provide a radiological classification of renal AML that contributes to the understanding and diagnosis of the different types and the appropriate therapeutic management and follow-up. ,,"(30, 30)",DS
PMC6032655,20,The purpose of this review is to provide a radiological classification of renal AML that contributes to the understanding and diagnosis of the different types and the appropriate therapeutic management and follow-up. ,,"(158, 158)",DS
PMC6032655,20,The purpose of this review is to provide a radiological classification of renal AML that contributes to the understanding and diagnosis of the different types and the appropriate therapeutic management and follow-up. ,,"(162, 162)",DS
PMC6032655,20,The purpose of this review is to provide a radiological classification of renal AML that contributes to the understanding and diagnosis of the different types and the appropriate therapeutic management and follow-up. ,,"(138, 138)",DS
PMC6032655,20,The purpose of this review is to provide a radiological classification of renal AML that contributes to the understanding and diagnosis of the different types and the appropriate therapeutic management and follow-up. ,,"(100, 100)",DS
PMC6032655,20,The purpose of this review is to provide a radiological classification of renal AML that contributes to the understanding and diagnosis of the different types and the appropriate therapeutic management and follow-up. ,,"(29, 29)",DS
PMC6032655,20,The purpose of this review is to provide a radiological classification of renal AML that contributes to the understanding and diagnosis of the different types and the appropriate therapeutic management and follow-up. ,,"(159, 159)",DS
PMC6032655,20,The purpose of this review is to provide a radiological classification of renal AML that contributes to the understanding and diagnosis of the different types and the appropriate therapeutic management and follow-up. ,,"(178, 178)",DS
PMC6032655,20,The purpose of this review is to provide a radiological classification of renal AML that contributes to the understanding and diagnosis of the different types and the appropriate therapeutic management and follow-up. ,,"(190, 190)",DS
PMC6032655,20,The purpose of this review is to provide a radiological classification of renal AML that contributes to the understanding and diagnosis of the different types and the appropriate therapeutic management and follow-up. ,,"(41, 41)",DS
PMC6032655,20,The purpose of this review is to provide a radiological classification of renal AML that contributes to the understanding and diagnosis of the different types and the appropriate therapeutic management and follow-up. ,,"(206, 206)",DS
PMC6032655,20,The purpose of this review is to provide a radiological classification of renal AML that contributes to the understanding and diagnosis of the different types and the appropriate therapeutic management and follow-up. ,,"(215, 215)",DS
PMC6032655,20,The purpose of this review is to provide a radiological classification of renal AML that contributes to the understanding and diagnosis of the different types and the appropriate therapeutic management and follow-up. ,,"(3, 3)",DS
PMC6032655,20,The purpose of this review is to provide a radiological classification of renal AML that contributes to the understanding and diagnosis of the different types and the appropriate therapeutic management and follow-up. ,,"(125, 125)",DS
PMC6032655,20,The purpose of this review is to provide a radiological classification of renal AML that contributes to the understanding and diagnosis of the different types and the appropriate therapeutic management and follow-up. ,,"(40, 40)",DS
PMC6032655,20,The purpose of this review is to provide a radiological classification of renal AML that contributes to the understanding and diagnosis of the different types and the appropriate therapeutic management and follow-up. ,,"(103, 103)",DS
PMC6032655,20,The purpose of this review is to provide a radiological classification of renal AML that contributes to the understanding and diagnosis of the different types and the appropriate therapeutic management and follow-up. ,,"(153, 153)",DS
PMC6032655,20,The purpose of this review is to provide a radiological classification of renal AML that contributes to the understanding and diagnosis of the different types and the appropriate therapeutic management and follow-up. ,,"(122, 122)",DS
PMC6032655,20,The purpose of this review is to provide a radiological classification of renal AML that contributes to the understanding and diagnosis of the different types and the appropriate therapeutic management and follow-up. ,,"(191, 191)",DS
PMC6032655,20,The purpose of this review is to provide a radiological classification of renal AML that contributes to the understanding and diagnosis of the different types and the appropriate therapeutic management and follow-up. ,,"(12, 12)",DS
PMC6032655,21,Classifications ,,"(15, 15)",DS
PMC6032655,21,Classifications ,,"(0, 0)",DS
PMC6032655,22,Clinical Classification ,,"(23, 23)",DS
PMC6032655,22,Clinical Classification ,,"(8, 8)",DS
PMC6032655,22,Clinical Classification ,,"(9, 9)",DS
PMC6032655,22,Clinical Classification ,,"(0, 0)",DS
PMC6032655,23,"About 80% of AMLs present as isolated entities, most commonly manifesting in middle-aged women. ",,"(13, 13)",DS
PMC6032655,23,"About 80% of AMLs present as isolated entities, most commonly manifesting in middle-aged women. ",,"(53, 53)",DS
PMC6032655,23,"About 80% of AMLs present as isolated entities, most commonly manifesting in middle-aged women. ",,"(77, 77)",DS
PMC6032655,23,"About 80% of AMLs present as isolated entities, most commonly manifesting in middle-aged women. ",,"(83, 83)",DS
PMC6032655,23,"About 80% of AMLs present as isolated entities, most commonly manifesting in middle-aged women. ",,"(88, 88)",DS
PMC6032655,23,"About 80% of AMLs present as isolated entities, most commonly manifesting in middle-aged women. ",,"(18, 18)",DS
PMC6032655,23,"About 80% of AMLs present as isolated entities, most commonly manifesting in middle-aged women. ",,"(46, 46)",DS
PMC6032655,23,"About 80% of AMLs present as isolated entities, most commonly manifesting in middle-aged women. ",,"(94, 94)",DS
PMC6032655,23,"About 80% of AMLs present as isolated entities, most commonly manifesting in middle-aged women. ",,"(62, 62)",DS
PMC6032655,23,"About 80% of AMLs present as isolated entities, most commonly manifesting in middle-aged women. ",,"(73, 73)",DS
PMC6032655,23,"About 80% of AMLs present as isolated entities, most commonly manifesting in middle-aged women. ",,"(84, 84)",DS
PMC6032655,23,"About 80% of AMLs present as isolated entities, most commonly manifesting in middle-aged women. ",,"(12, 12)",DS
PMC6032655,23,"About 80% of AMLs present as isolated entities, most commonly manifesting in middle-aged women. ",,"(48, 48)",DS
PMC6032655,23,"About 80% of AMLs present as isolated entities, most commonly manifesting in middle-aged women. ",,"(0, 0)",DS
PMC6032655,23,"About 80% of AMLs present as isolated entities, most commonly manifesting in middle-aged women. ",,"(52, 52)",DS
PMC6032655,23,"About 80% of AMLs present as isolated entities, most commonly manifesting in middle-aged women. ",,"(10, 10)",DS
PMC6032655,23,"About 80% of AMLs present as isolated entities, most commonly manifesting in middle-aged women. ",,"(74, 74)",DS
PMC6032655,23,"About 80% of AMLs present as isolated entities, most commonly manifesting in middle-aged women. ",,"(28, 28)",DS
PMC6032655,23,"About 80% of AMLs present as isolated entities, most commonly manifesting in middle-aged women. ",,"(29, 29)",DS
PMC6032655,23,"About 80% of AMLs present as isolated entities, most commonly manifesting in middle-aged women. ",,"(37, 37)",DS
PMC6032655,23,"About 80% of AMLs present as isolated entities, most commonly manifesting in middle-aged women. ",,"(5, 5)",DS
PMC6032655,23,"About 80% of AMLs present as isolated entities, most commonly manifesting in middle-aged women. ",,"(61, 61)",DS
PMC6032655,23,"About 80% of AMLs present as isolated entities, most commonly manifesting in middle-aged women. ",,"(8, 8)",DS
PMC6032655,23,"About 80% of AMLs present as isolated entities, most commonly manifesting in middle-aged women. ",,"(25, 25)",DS
PMC6032655,23,"About 80% of AMLs present as isolated entities, most commonly manifesting in middle-aged women. ",,"(89, 89)",DS
PMC6032655,23,"About 80% of AMLs present as isolated entities, most commonly manifesting in middle-aged women. ",,"(6, 6)",DS
PMC6032655,23,"About 80% of AMLs present as isolated entities, most commonly manifesting in middle-aged women. ",,"(38, 38)",DS
PMC6032655,23,"About 80% of AMLs present as isolated entities, most commonly manifesting in middle-aged women. ",,"(26, 26)",DS
PMC6032655,23,"About 80% of AMLs present as isolated entities, most commonly manifesting in middle-aged women. ",,"(17, 17)",DS
PMC6032655,23,"About 80% of AMLs present as isolated entities, most commonly manifesting in middle-aged women. ",,"(76, 76)",DS
PMC6032655,24,They tend to be single and small and rarely progress to cause significant morbidity [35]. ,,"(13, 13)",DS
PMC6032655,24,They tend to be single and small and rarely progress to cause significant morbidity [35]. ,,"(43, 43)",DS
PMC6032655,24,They tend to be single and small and rarely progress to cause significant morbidity [35]. ,,"(53, 53)",DS
PMC6032655,24,They tend to be single and small and rarely progress to cause significant morbidity [35]. ,,"(83, 83)",DS
PMC6032655,24,They tend to be single and small and rarely progress to cause significant morbidity [35]. ,,"(85, 85)",DS
PMC6032655,24,They tend to be single and small and rarely progress to cause significant morbidity [35]. ,,"(56, 56)",DS
PMC6032655,24,They tend to be single and small and rarely progress to cause significant morbidity [35]. ,,"(62, 62)",DS
PMC6032655,24,They tend to be single and small and rarely progress to cause significant morbidity [35]. ,,"(15, 15)",DS
PMC6032655,24,They tend to be single and small and rarely progress to cause significant morbidity [35]. ,,"(9, 9)",DS
PMC6032655,24,They tend to be single and small and rarely progress to cause significant morbidity [35]. ,,"(23, 23)",DS
PMC6032655,24,They tend to be single and small and rarely progress to cause significant morbidity [35]. ,,"(55, 55)",DS
PMC6032655,24,They tend to be single and small and rarely progress to cause significant morbidity [35]. ,,"(73, 73)",DS
PMC6032655,24,They tend to be single and small and rarely progress to cause significant morbidity [35]. ,,"(87, 87)",DS
PMC6032655,24,They tend to be single and small and rarely progress to cause significant morbidity [35]. ,,"(44, 44)",DS
PMC6032655,24,They tend to be single and small and rarely progress to cause significant morbidity [35]. ,,"(0, 0)",DS
PMC6032655,24,They tend to be single and small and rarely progress to cause significant morbidity [35]. ,,"(16, 16)",DS
PMC6032655,24,They tend to be single and small and rarely progress to cause significant morbidity [35]. ,,"(32, 32)",DS
PMC6032655,24,They tend to be single and small and rarely progress to cause significant morbidity [35]. ,,"(52, 52)",DS
PMC6032655,24,They tend to be single and small and rarely progress to cause significant morbidity [35]. ,,"(22, 22)",DS
PMC6032655,24,They tend to be single and small and rarely progress to cause significant morbidity [35]. ,,"(10, 10)",DS
PMC6032655,24,They tend to be single and small and rarely progress to cause significant morbidity [35]. ,,"(74, 74)",DS
PMC6032655,24,They tend to be single and small and rarely progress to cause significant morbidity [35]. ,,"(36, 36)",DS
PMC6032655,24,They tend to be single and small and rarely progress to cause significant morbidity [35]. ,,"(4, 4)",DS
PMC6032655,24,They tend to be single and small and rarely progress to cause significant morbidity [35]. ,,"(27, 27)",DS
PMC6032655,24,They tend to be single and small and rarely progress to cause significant morbidity [35]. ,,"(37, 37)",DS
PMC6032655,24,They tend to be single and small and rarely progress to cause significant morbidity [35]. ,,"(5, 5)",DS
PMC6032655,24,They tend to be single and small and rarely progress to cause significant morbidity [35]. ,,"(61, 61)",DS
PMC6032655,24,They tend to be single and small and rarely progress to cause significant morbidity [35]. ,,"(26, 26)",DS
PMC6032655,24,They tend to be single and small and rarely progress to cause significant morbidity [35]. ,,"(33, 33)",DS
PMC6032655,24,They tend to be single and small and rarely progress to cause significant morbidity [35]. ,,"(12, 12)",DS
PMC6032655,25,"In the remainder 20% of cases, AMLs occur in association with TSC or, less commonly, as part of LAM. ",,"(19, 19)",DS
PMC6032655,25,"In the remainder 20% of cases, AMLs occur in association with TSC or, less commonly, as part of LAM. ",,"(21, 21)",DS
PMC6032655,25,"In the remainder 20% of cases, AMLs occur in association with TSC or, less commonly, as part of LAM. ",,"(24, 24)",DS
PMC6032655,25,"In the remainder 20% of cases, AMLs occur in association with TSC or, less commonly, as part of LAM. ",,"(45, 45)",DS
PMC6032655,25,"In the remainder 20% of cases, AMLs occur in association with TSC or, less commonly, as part of LAM. ",,"(75, 75)",DS
PMC6032655,25,"In the remainder 20% of cases, AMLs occur in association with TSC or, less commonly, as part of LAM. ",,"(83, 83)",DS
PMC6032655,25,"In the remainder 20% of cases, AMLs occur in association with TSC or, less commonly, as part of LAM. ",,"(85, 85)",DS
PMC6032655,25,"In the remainder 20% of cases, AMLs occur in association with TSC or, less commonly, as part of LAM. ",,"(88, 88)",DS
PMC6032655,25,"In the remainder 20% of cases, AMLs occur in association with TSC or, less commonly, as part of LAM. ",,"(0, 0)",DS
PMC6032655,25,"In the remainder 20% of cases, AMLs occur in association with TSC or, less commonly, as part of LAM. ",,"(42, 42)",DS
PMC6032655,25,"In the remainder 20% of cases, AMLs occur in association with TSC or, less commonly, as part of LAM. ",,"(70, 70)",DS
PMC6032655,25,"In the remainder 20% of cases, AMLs occur in association with TSC or, less commonly, as part of LAM. ",,"(74, 74)",DS
PMC6032655,25,"In the remainder 20% of cases, AMLs occur in association with TSC or, less commonly, as part of LAM. ",,"(36, 36)",DS
PMC6032655,25,"In the remainder 20% of cases, AMLs occur in association with TSC or, less commonly, as part of LAM. ",,"(92, 92)",DS
PMC6032655,25,"In the remainder 20% of cases, AMLs occur in association with TSC or, less commonly, as part of LAM. ",,"(29, 29)",DS
PMC6032655,25,"In the remainder 20% of cases, AMLs occur in association with TSC or, less commonly, as part of LAM. ",,"(35, 35)",DS
PMC6032655,25,"In the remainder 20% of cases, AMLs occur in association with TSC or, less commonly, as part of LAM. ",,"(93, 93)",DS
PMC6032655,25,"In the remainder 20% of cases, AMLs occur in association with TSC or, less commonly, as part of LAM. ",,"(99, 99)",DS
PMC6032655,25,"In the remainder 20% of cases, AMLs occur in association with TSC or, less commonly, as part of LAM. ",,"(7, 7)",DS
PMC6032655,25,"In the remainder 20% of cases, AMLs occur in association with TSC or, less commonly, as part of LAM. ",,"(57, 57)",DS
PMC6032655,25,"In the remainder 20% of cases, AMLs occur in association with TSC or, less commonly, as part of LAM. ",,"(31, 31)",DS
PMC6032655,25,"In the remainder 20% of cases, AMLs occur in association with TSC or, less commonly, as part of LAM. ",,"(17, 17)",DS
PMC6032655,25,"In the remainder 20% of cases, AMLs occur in association with TSC or, less commonly, as part of LAM. ",,"(95, 95)",DS
PMC6032655,25,"In the remainder 20% of cases, AMLs occur in association with TSC or, less commonly, as part of LAM. ",,"(56, 56)",DS
PMC6032655,25,"In the remainder 20% of cases, AMLs occur in association with TSC or, less commonly, as part of LAM. ",,"(2, 2)",DS
PMC6032655,25,"In the remainder 20% of cases, AMLs occur in association with TSC or, less commonly, as part of LAM. ",,"(62, 62)",DS
PMC6032655,25,"In the remainder 20% of cases, AMLs occur in association with TSC or, less commonly, as part of LAM. ",,"(23, 23)",DS
PMC6032655,25,"In the remainder 20% of cases, AMLs occur in association with TSC or, less commonly, as part of LAM. ",,"(41, 41)",DS
PMC6032655,25,"In the remainder 20% of cases, AMLs occur in association with TSC or, less commonly, as part of LAM. ",,"(66, 66)",DS
PMC6032655,25,"In the remainder 20% of cases, AMLs occur in association with TSC or, less commonly, as part of LAM. ",,"(87, 87)",DS
PMC6032655,25,"In the remainder 20% of cases, AMLs occur in association with TSC or, less commonly, as part of LAM. ",,"(16, 16)",DS
PMC6032655,25,"In the remainder 20% of cases, AMLs occur in association with TSC or, less commonly, as part of LAM. ",,"(96, 96)",DS
PMC6032655,25,"In the remainder 20% of cases, AMLs occur in association with TSC or, less commonly, as part of LAM. ",,"(68, 68)",DS
PMC6032655,25,"In the remainder 20% of cases, AMLs occur in association with TSC or, less commonly, as part of LAM. ",,"(3, 3)",DS
PMC6032655,25,"In the remainder 20% of cases, AMLs occur in association with TSC or, less commonly, as part of LAM. ",,"(61, 61)",DS
PMC6032655,25,"In the remainder 20% of cases, AMLs occur in association with TSC or, less commonly, as part of LAM. ",,"(6, 6)",DS
PMC6032655,25,"In the remainder 20% of cases, AMLs occur in association with TSC or, less commonly, as part of LAM. ",,"(65, 65)",DS
PMC6032655,25,"In the remainder 20% of cases, AMLs occur in association with TSC or, less commonly, as part of LAM. ",,"(44, 44)",DS
PMC6032655,26,"Relative to the sporadic form of AML, these hereditary lesions affect both genders equally and manifest at a younger age. ",,"(11, 11)",DS
PMC6032655,26,"Relative to the sporadic form of AML, these hereditary lesions affect both genders equally and manifest at a younger age. ",,"(43, 43)",DS
PMC6032655,26,"Relative to the sporadic form of AML, these hereditary lesions affect both genders equally and manifest at a younger age. ",,"(24, 24)",DS
PMC6032655,26,"Relative to the sporadic form of AML, these hereditary lesions affect both genders equally and manifest at a younger age. ",,"(75, 75)",DS
PMC6032655,26,"Relative to the sporadic form of AML, these hereditary lesions affect both genders equally and manifest at a younger age. ",,"(83, 83)",DS
PMC6032655,26,"Relative to the sporadic form of AML, these hereditary lesions affect both genders equally and manifest at a younger age. ",,"(107, 107)",DS
PMC6032655,26,"Relative to the sporadic form of AML, these hereditary lesions affect both genders equally and manifest at a younger age. ",,"(30, 30)",DS
PMC6032655,26,"Relative to the sporadic form of AML, these hereditary lesions affect both genders equally and manifest at a younger age. ",,"(82, 82)",DS
PMC6032655,26,"Relative to the sporadic form of AML, these hereditary lesions affect both genders equally and manifest at a younger age. ",,"(94, 94)",DS
PMC6032655,26,"Relative to the sporadic form of AML, these hereditary lesions affect both genders equally and manifest at a younger age. ",,"(109, 109)",DS
PMC6032655,26,"Relative to the sporadic form of AML, these hereditary lesions affect both genders equally and manifest at a younger age. ",,"(63, 63)",DS
PMC6032655,26,"Relative to the sporadic form of AML, these hereditary lesions affect both genders equally and manifest at a younger age. ",,"(12, 12)",DS
PMC6032655,26,"Relative to the sporadic form of AML, these hereditary lesions affect both genders equally and manifest at a younger age. ",,"(0, 0)",DS
PMC6032655,26,"Relative to the sporadic form of AML, these hereditary lesions affect both genders equally and manifest at a younger age. ",,"(54, 54)",DS
PMC6032655,26,"Relative to the sporadic form of AML, these hereditary lesions affect both genders equally and manifest at a younger age. ",,"(74, 74)",DS
PMC6032655,26,"Relative to the sporadic form of AML, these hereditary lesions affect both genders equally and manifest at a younger age. ",,"(106, 106)",DS
PMC6032655,26,"Relative to the sporadic form of AML, these hereditary lesions affect both genders equally and manifest at a younger age. ",,"(36, 36)",DS
PMC6032655,26,"Relative to the sporadic form of AML, these hereditary lesions affect both genders equally and manifest at a younger age. ",,"(29, 29)",DS
PMC6032655,26,"Relative to the sporadic form of AML, these hereditary lesions affect both genders equally and manifest at a younger age. ",,"(91, 91)",DS
PMC6032655,26,"Relative to the sporadic form of AML, these hereditary lesions affect both genders equally and manifest at a younger age. ",,"(117, 117)",DS
PMC6032655,26,"Relative to the sporadic form of AML, these hereditary lesions affect both genders equally and manifest at a younger age. ",,"(38, 38)",DS
PMC6032655,26,"Relative to the sporadic form of AML, these hereditary lesions affect both genders equally and manifest at a younger age. ",,"(90, 90)",DS
PMC6032655,26,"Relative to the sporadic form of AML, these hereditary lesions affect both genders equally and manifest at a younger age. ",,"(33, 33)",DS
PMC6032655,26,"Relative to the sporadic form of AML, these hereditary lesions affect both genders equally and manifest at a younger age. ",,"(95, 95)",DS
PMC6032655,26,"Relative to the sporadic form of AML, these hereditary lesions affect both genders equally and manifest at a younger age. ",,"(120, 120)",DS
PMC6032655,26,"Relative to the sporadic form of AML, these hereditary lesions affect both genders equally and manifest at a younger age. ",,"(62, 62)",DS
PMC6032655,26,"Relative to the sporadic form of AML, these hereditary lesions affect both genders equally and manifest at a younger age. ",,"(9, 9)",DS
PMC6032655,26,"Relative to the sporadic form of AML, these hereditary lesions affect both genders equally and manifest at a younger age. ",,"(55, 55)",DS
PMC6032655,26,"Relative to the sporadic form of AML, these hereditary lesions affect both genders equally and manifest at a younger age. ",,"(16, 16)",DS
PMC6032655,26,"Relative to the sporadic form of AML, these hereditary lesions affect both genders equally and manifest at a younger age. ",,"(32, 32)",DS
PMC6032655,26,"Relative to the sporadic form of AML, these hereditary lesions affect both genders equally and manifest at a younger age. ",,"(69, 69)",DS
PMC6032655,26,"Relative to the sporadic form of AML, these hereditary lesions affect both genders equally and manifest at a younger age. ",,"(8, 8)",DS
PMC6032655,26,"Relative to the sporadic form of AML, these hereditary lesions affect both genders equally and manifest at a younger age. ",,"(104, 104)",DS
