	exact	type	db_id
13015	D. tertiolecta	CRT_OG	
13016	D. tertiolecta	CRT_OG	
13017	D. tertiolecta	CRT_OG	
13018	D. tertiolecta	CRT_OG	
13019	THB1	MIS_GP	
13020	truncated hemoglobin	CRT_GP	
13021	urea active transporter	CRT_GP	
13022	glucose-6-phosphate dehydrogenase	MIS_GP	
13023	NADH	WT_GP	
13024	pyruvate kinase	CRT_GP	
13025	malate dehydrogenase	CRT_GP	
13026	acetyl-CoA carboxylase	CRT_GP	
13027	antenna proteins	MIS_GP	
13028	RuBisCO activase	CRT_GP	
13029	RuBisCO	CRT_GP	
13030	gamma carbonic anhydrase	WS_GP	
13031	CAG1	CRT_GP	
13032	CAG2	MIS_GP	
13033	CAG3	MIS_GP	
13034	Pyruvate phosphate dikinase	MIS_GP	
13035	PPD2	CRT_GP	
13036	PPD2	CRT_GP	
13037	Phosphofructokinase	CRT_GP	
13038	PFK2	CRT_GP	
13039	pyruvate kinase	CRT_GP	
13040	PYK1	CRT_GP	
13041	pyruvate dehydrogenase complex	MIS_GP	
13042	DLA1	MIS_GP	
13043	dihydrolipoamide acetyltransferase	WS_GP	
13044	citrate synthase	CRT_GP	
13045	CIS1	CRT_GP	
13046	aconitase	CRT_GP	
13047	ACH1	CRT_GP	
13048	isocitrate dehydrogenase	MIS_GP	
13049	IDH2	CRT_GP	
13050	oxoglutarate dehydrogenase	CRT_GP	
13051	OGD1	CRT_GP	
13052	succinate dehydrogenase	MIS_GP	
13053	SDH2	CRT_GP	
13054	fumarate hydratase	MIS_GP	
13055	FUM1	CRT_GP	
13056	malate dehydrogenase	CRT_GP	
13057	MDH3	CRT_GP	
13058	triose phosphate/phosphoenolpyruvate translocator	MIS_GP	
13059	TPT1	CRT_GP	
13060	TPT1	CRT_GP	
13061	glycerol-3-phosphate dehydrogenase	CRT_GP	
13062	GPDH	CRT_GP	
13063	ADP-glucose pyrophosphorylase	CRT_GP	
13064	STA1	CRT_GP	
13065	starch synthase	MIS_GP	
13066	SSS1	CRT_GP	
13067	UDP-glucose pyrophosphorylase	CRT_GP	
13068	UGP1	CRT_GP	
13069	starch branching enzyme	CRT_GP	
13070	SBE2	CRT_GP	
13071	ATP:citrate lyase	MIS_GP	
13072	ACLB1	CRT_GP	
13073	NADP-malic enzyme	WS_GP	
13074	MME2	MIS_GP	
13075	glucose-6-phosphate dehydrogenase	MIS_GP	
13076	G6PDH	CRT_GP	
13077	malonyl-CoA-acyl carrier protein transacylase	CRT_GP	
13078	MCAT	CRT_GP	
13079	acetyl-CoA carboxylase	CRT_GP	
13080	ACCase	MIS_GP	
13081	D. tertiolecta	CRT_OG	
13082	microorganisms	MIS_OG	
13083	microalgae	MIS_OG	
13084	Nannochloropsis oceanica	WS_OG	
13085	Chlorella	CRT_OG	
13086	D. tertiolecta	CRT_OG	
13087	N. oceanica	CRT_OG	
13088	microalga	MIS_OG	
13089	D. tertiolecta	CRT_OG	
13090	C. reinhardtii	CRT_OG	
13091	C. vulgaris	CRT_OG	
13092	microalgae	MIS_OG	
13093	microalga	MIS_OG	
13094	N. oceanica	CRT_OG	
13095	C. vulgaris	CRT_OG	
13096	D. tertiolecta	CRT_OG	
13097	C. reinhardtii	CRT_OG	
13098	microalga	MIS_OG	
13099	D. tertiolecta	CRT_OG	
13100	GPAT	CRT_GP	
13101	LPAAT	CRT_GP	
13102	N. oceanica	CRT_OG	
13103	C. reinhardtii	CRT_OG	
13104	C. vulgaris	CRT_OG	
13105	D. tertiolecta	CRT_OG	
13106	microalgae	MIS_OG	
13107	microalgae	MIS_OG	
13108	microalga	MIS_OG	
13109	D. tertiolecta	CRT_OG	
13110	microalgae	MIS_OG	
13111	D. tertiolecta	CRT_OG	
13112	microalgae	MIS_OG	
13113	N. oceanica	MIS_OG	
13114	G6PDH	CRT_GP	
13115	ME	MIS_GP	
13116	fungi	MIS_OG	
13117	Mortierella alpina	WS_OG	
13118	Mucor circinelloides	MIS_OG	
13119	LHCII apoprotein	MIS_GP	
13120	PSII	WT_GP	
13121	D. tertiolecta	CRT_OG	
13122	microalgae	MIS_OG	
13123	D. tertiolecta	CRT_OG	
13124	D. tertiolecta	CRT_OG	
13125	D. tertiolecta	CRT_OG	
13126	D. tertiolecta	CRT_OG	
13127	phosphofructokinase	CRT_GP	
13128	pyruvate kinase	CRT_GP	
13129	pyruvate dehydrogenase complex	MIS_GP	
13130	PDC	CRT_GP	
13131	N. oceanica	CRT_OG	
13132	C. reinhardtii	CRT_OG	
13133	D. tertiolecta	CRT_OG	
13134	N. oceanica	CRT_OG	
13135	Nannochloropsis	CRT_OG	
13136	D. tertiolecta	CRT_OG	
13137	microalgae	MIS_OG	
13138	PDC	CRT_GP	
13139	microalgae	MIS_OG	
13140	C. reinhardtii	CRT_OG	
13141	C. vulgaris	CRT_OG	
13142	acetyl-CoA synthetase	CRT_GP	
13143	ACS	CRT_GP	
13144	Chlorella	CRT_OG	
13145	ACS	CRT_GP	
13146	PDC	CRT_GP	
13147	Chlorella	CRT_OG	
13148	Chlorella	CRT_OG	
13149	Nannochloropsis	CRT_OG	
13150	Microalgae	MIS_OG	
13151	Dunaliella	CRT_OG	
13152	D. tertiolecta	CRT_OG	
13153	D. tertiolecta	CRT_OG	
13154	D. tertiolecta	CRT_OG	
13155	D. tertiolecta	CRT_OG	
13156	D. tertiolecta	CRT_OG	
13157	C. reinhardtii	CRT_OG	
13158	microalgae	MIS_OG	
13159	D. tertiolecta	CRT_OG	
13160	triose phosphate translocator	MIS_GP	
13161	GPDH	CRT_GP	
13162	D. tertiolecta	CRT_OG	
13163	D. tertiolecta	CRT_OG	
13164	microalga	MIS_OG	
13165	D. tertiolecta	CRT_OG	
13166	microalga	MIS_OG	
13167	N. oceanica	CRT_OG	
13168	microalgae	MIS_OG	
13169	microalgae	MIS_OG	
13170	microorganisms	MIS_OG	
13171	Microalgae	MIS_OG	
13172	Dunaliella tertiolecta strain (UTEX LB 999)	WS_OG	
13173	D. tertiolecta	CRT_OG	
13174	D. tertiolecta	CRT_OG	
13175	D. tertiolecta	CRT_OG	
13176	GSA	WT_GP	
13177	GSA	WT_GP	
13178	D. tertiolecta	CRT_OG	
13179	D. tertiolecta	CRT_OG	
13180	C. reinhardtii	CRT_OG	
13181	C. reinhardtii	CRT_OG	
13182	Dunaliella tertiolecta	CRT_OG	
13183	plant	MIS_OG	
13184	Brassica	CRT_OG	
13185	plant	MIS_OG	
13186	aphids	CRT_OG	
13187	plant	MIS_OG	
13188	plant	MIS_OG	
13189	insects	CRT_OG	
13190	plant	MIS_OG	
13191	insect	MIS_OG	
13192	plant	MIS_OG	
13193	plant	MIS_OG	
13194	insects	CRT_OG	
13195	broccoli	CRT_OG	
13196	Brassica oleracea var. italica	WS_OG	
13197	plants	CRT_OG	
13198	broccoli	CRT_OG	
13199	plant	MIS_OG	
13200	plant	MIS_OG	
13201	plant	MIS_OG	
13202	cabbage aphid	CRT_OG	
13203	Brevicoryne brassicae	CRT_OG	
13204	plant	MIS_OG	
13205	plants	CRT_OG	
13206	B. brassicae	MIS_OG	
13207	B. brassicae	MIS_OG	
13208	plants	CRT_OG	
13209	plants	CRT_OG	
13210	plants	CRT_OG	
13211	Arthropod pests	MIS_OG	
13212	aphids	CRT_OG	
13213	Hemiptera	CRT_OG	
13214	Aphididae	CRT_OG	
13215	plants	CRT_OG	
13216	honeydew	WT_OG	
13217	viruses	MIS_OG	
13218	aphids	CRT_OG	
13219	arthropod pests	MIS_OG	
13220	plants	CRT_OG	
13221	plants	CRT_OG	
13222	Brassica oleracea var. italica	WS_OG	
13223	Brassicaceae	CRT_OG	
13224	broccoli	CRT_OG	
13225	plant	MIS_OG	
13226	photoreceptors	MIS_GP	
13227	plant	MIS_OG	
13228	plant	MIS_OG	
13229	insects	CRT_OG	
13230	plant	MIS_OG	
13231	plant	MIS_OG	
13232	plant	MIS_OG	
13233	plant	MIS_OG	
13234	plant	MIS_OG	
13235	plants	CRT_OG	
13236	insects	CRT_OG	
13237	plants	CRT_OG	
13238	plants	CRT_OG	
13239	Cucumis sativus L.	WS_OG	
13240	Cucurbitaceae	CRT_OG	
13241	cucumber	CRT_OG	
13242	Lactuca sativa L.	WS_OG	
13243	Asteraceae	CRT_OG	
13244	lettuce	MIS_OG	
13245	cucumber	CRT_OG	
13246	plant	MIS_OG	
13247	plant	MIS_OG	
13248	Ocimum basilicum L.	MIS_OG	
13249	Lamiaceae	CRT_OG	
13250	basil	CRT_OG	
13251	Brassica rapa ssp. pekinensis	WS_OG	
13252	Brassicaceae	CRT_OG	
13253	Chinese cabbage	CRT_OG	
13254	Cardamine fauriei Maxim.	WS_OG	
13255	Brassicaceae	CRT_OG	
13256	Ezo-wasabi	MIS_OG	
13257	plant	MIS_OG	
13258	Capsicum annuum L.	WS_OG	
13259	Solanaceae	CRT_OG	
13260	pepper	MIS_OG	
13261	Solanum melongena L.	MIS_OG	
13262	Solanaceae	CRT_OG	
13263	eggplant	CRT_OG	
13264	Prunella vulgaris L.	WS_OG	
13265	Lamiaceae	CRT_OG	
13266	self-heal	CRT_OG	
13267	plant	MIS_OG	
13268	insects	CRT_OG	
13269	broccoli	CRT_OG	
13270	plants	CRT_OG	
13271	plants	CRT_OG	
13272	aphid	MIS_OG	
13273	Brevicoryne brassicae Linnaeus	WS_OG	
13274	aphid	MIS_OG	
13275	Myzus persicae	CRT_OG	
13276	Hemiptera	CRT_OG	
13277	Aphididae	CRT_OG	
13278	B. brassicae	MIS_OG	
13279	broccoli	CRT_OG	
13280	plants	CRT_OG	
13281	B. brassicae	MIS_OG	
13282	plants	CRT_OG	
13283	insect	MIS_OG	
13284	insect	MIS_OG	
13285	plant	MIS_OG	
13286	plant	MIS_OG	
13287	insects	CRT_OG	
13288	Brassica oleracea var. italic	WS_OG	
13289	broccoli	CRT_OG	
13290	plants	CRT_OG	
13291	plant	MIS_OG	
13292	plant	MIS_OG	
13293	cabbage aphid	CRT_OG	
13294	B. brassicae	MIS_OG	
13295	insects	CRT_OG	
13296	Cabbage aphids	CRT_OG	
13297	B. brassicae	MIS_OG	
13298	broccoli	CRT_OG	
13299	plants	CRT_OG	
13300	aphids	CRT_OG	
13301	broccoli	CRT_OG	
13302	plants	CRT_OG	
13303	plants	CRT_OG	
13304	aphids	CRT_OG	
13305	Plant	MIS_OG	
13306	Broccoli	CRT_OG	
13307	plants	CRT_OG	
13308	B. oleracea var. italica	MIS_OG	
13309	broccoli	CRT_OG	
13310	plants	CRT_OG	
13311	aphids	CRT_OG	
13312	plants	CRT_OG	
13313	H2A1	WT_GP	
13314	H2A1	WT_GP	
13315	H2A1	WT_GP	
13316	H2A1	WT_GP	
13317	broccoli	CRT_OG	
13318	plants	CRT_OG	
13319	plants	CRT_OG	
13320	H2A1	WT_GP	
13321	H2A1	WT_GP	
13322	H2A1	WT_GP	
13323	H2A1	WT_GP	
13324	B. brassicae	MIS_OG	
13325	aphid	MIS_OG	
13326	B. brassicae	MIS_OG	
13327	plants	CRT_OG	
13328	aphids	CRT_OG	
13329	aphids	CRT_OG	
13330	aphids	CRT_OG	
13331	plant	MIS_OG	
13332	plant	MIS_OG	
13333	plants	CRT_OG	
13334	B. brassicae	MIS_OG	
13335	B. brassicae	MIS_OG	
13336	plants	CRT_OG	
13337	Plants	CRT_OG	
13338	plants	CRT_OG	
13339	aphids	CRT_OG	
13340	B. brassicae	MIS_OG	
13341	plant	MIS_OG	
13342	plant	MIS_OG	
13343	B. brassicae	MIS_OG	
13344	B. brassicae	MIS_OG	
13345	plant	MIS_OG	
13346	plant	MIS_OG	
13347	B. brassicae	MIS_OG	
13348	plant	MIS_OG	
13349	aphid	MIS_OG	
13350	plant	MIS_OG	
13351	plants	CRT_OG	
13352	aphids	CRT_OG	
13353	broccoli	CRT_OG	
13354	plants	CRT_OG	
13355	plant	MIS_OG	
13356	plants	CRT_OG	
13357	plants	CRT_OG	
13358	broccoli	CRT_OG	
13359	plants	CRT_OG	
13360	B. brassicae	MIS_OG	
13361	plant	MIS_OG	
13362	plants	CRT_OG	
13363	plants	CRT_OG	
13364	plant	MIS_OG	
13365	broccoli	CRT_OG	
13366	ESI	WT_GP	
13367	ESI	WT_GP	
13368	broccoli	CRT_OG	
13369	plants	CRT_OG	
13370	Brassica	CRT_OG	
13371	ESI	WT_GP	
13372	broccoli	CRT_OG	
13373	plants	CRT_OG	
13374	plant	MIS_OG	
13375	plant	MIS_OG	
13376	aphid	MIS_OG	
13377	aphid	MIS_OG	
13378	plant	MIS_OG	
13379	aphids	CRT_OG	
13380	plants	CRT_OG	
13381	B. brassicae	MIS_OG	
13382	aphids	CRT_OG	
13383	plant	MIS_OG	
13384	aphid	MIS_OG	
13385	aphid	MIS_OG	
13386	B. brassicae	MIS_OG	
13387	plants	CRT_OG	
13388	plant	MIS_OG	
13389	aphid	MIS_OG	
13390	broccoli	CRT_OG	
13391	plant	MIS_OG	
13392	aphid	MIS_OG	
13393	Plant	MIS_OG	
13394	plants	CRT_OG	
13395	plants	CRT_OG	
13396	broccoli	CRT_OG	
13397	plants	CRT_OG	
13398	plant	MIS_OG	
13399	plant	MIS_OG	
13400	broccoli	CRT_OG	
13401	plants	CRT_OG	
13402	B. brassicae	MIS_OG	
13403	B. brassicae	MIS_OG	
13404	plant	MIS_OG	
13405	B. brassicae	MIS_OG	
13406	B. brassicae	MIS_OG	
13407	plants	CRT_OG	
13408	plants	CRT_OG	
13409	plants	CRT_OG	
13410	plants	CRT_OG	
13411	plants	CRT_OG	
13412	B. brassicae	MIS_OG	
13413	broccoli	CRT_OG	
13414	plants	CRT_OG	
13415	B. brassicae	MIS_OG	
13416	plants	CRT_OG	
13417	plants	CRT_OG	
13418	broccoli	CRT_OG	
13419	plants	CRT_OG	
13420	Plants	CRT_OG	
13421	B. brassicae	MIS_OG	
13422	broccoli	CRT_OG	
13423	plants	CRT_OG	
13424	B. brassicae	MIS_OG	
13425	B. brassicae	MIS_OG	
13426	broccoli	CRT_OG	
13427	plants	CRT_OG	
13428	Brevicoryne brassicae	CRT_OG	
13429	aphid	MIS_OG	
13430	broccoli	CRT_OG	
13431	plants	CRT_OG	
13432	B. brassicae	MIS_OG	
13433	broccoli	CRT_OG	
13434	plants	CRT_OG	
13435	plants	CRT_OG	
13436	B. brassicae	MIS_OG	
13437	broccoli	CRT_OG	
13438	plants	CRT_OG	
13439	Brevicoryne brassicae	CRT_OG	
13440	aphid	MIS_OG	
13441	broccoli	CRT_OG	
13442	plants	CRT_OG	
13443	B. brassicae	MIS_OG	
13444	broccoli	CRT_OG	
13445	plants	CRT_OG	
13446	B. brassicae	MIS_OG	
13447	broccoli	CRT_OG	
13448	plants	CRT_OG	
13449	plants	CRT_OG	
13450	B. brassicae	MIS_OG	
13451	broccoli	CRT_OG	
13452	plants	CRT_OG	
13453	broccoli	CRT_OG	
13454	plants	CRT_OG	
13455	Brevicoryne brassicae	CRT_OG	
13456	aphid	MIS_OG	
13457	broccoli	CRT_OG	
13458	B. brassicae	MIS_OG	
13459	plants	CRT_OG	
13460	plants	CRT_OG	
13461	B. brassicae	MIS_OG	
13462	B. brassicae	MIS_OG	
13463	broccoli	CRT_OG	
13464	plants	CRT_OG	
13465	Brevicoryne brassicae	CRT_OG	
13466	aphid	MIS_OG	
13467	broccoli	CRT_OG	
13468	B. brassicae	MIS_OG	
13469	B. brassica	MIS_OG	
13470	broccoli	CRT_OG	
13471	plants	CRT_OG	
13472	Brevicoryne brassicae	CRT_OG	
13473	aphid	MIS_OG	
13474	broccoli	CRT_OG	
13475	plants	CRT_OG	
13476	plants	CRT_OG	
13477	plants	CRT_OG	
13478	aphid	MIS_OG	
13479	B. brassicae	MIS_OG	
13480	Brassica	CRT_OG	
13481	Broccoli	CRT_OG	
13482	plants	CRT_OG	
13483	plants	CRT_OG	
13484	Plant	MIS_OG	
13485	plants	CRT_OG	
13486	plants	CRT_OG	
13487	plant	MIS_OG	
13488	lettuce	MIS_OG	
13489	plant	MIS_OG	
13490	broccoli	CRT_OG	
13491	plant	MIS_OG	
13492	Chinese cabbage	CRT_OG	
13493	plants	CRT_OG	
13494	broccoli	CRT_OG	
13495	plant	MIS_OG	
13496	B. brassicae	MIS_OG	
13497	B. brassicae	MIS_OG	
13498	broccoli	CRT_OG	
13499	plants	CRT_OG	
13500	soybean aphids	CRT_OG	
13501	Brussels sprout	MIS_OG	
13502	plants	CRT_OG	
13503	plants	CRT_OG	
13504	B. brassicae	MIS_OG	
13505	plants	CRT_OG	
13506	Brussels sprout	MIS_OG	
13507	plants	CRT_OG	
13508	broccoli	CRT_OG	
13509	plants	CRT_OG	
13510	plant	MIS_OG	
13511	aphid	MIS_OG	
13512	Broccoli	CRT_OG	
13513	plants	CRT_OG	
13514	broccoli	CRT_OG	
13515	plants	CRT_OG	
13516	plant	MIS_OG	
13517	Chinese cabbage	CRT_OG	
13518	Plant	MIS_OG	
13519	aphids	CRT_OG	
13520	aphids	CRT_OG	
13521	plants	CRT_OG	
13522	aphids	CRT_OG	
13523	plants	CRT_OG	
13524	aphids	CRT_OG	
13525	plants	CRT_OG	
13526	plant	MIS_OG	
13527	plants	CRT_OG	
13528	plants	CRT_OG	
13529	green peach aphid	CRT_OG	
13530	Myzus persicae	CRT_OG	
13531	Chinese cabbage	CRT_OG	
13532	plants	CRT_OG	
13533	plant	MIS_OG	
13534	aphids	CRT_OG	
13535	aphids	CRT_OG	
13536	aphids	CRT_OG	
13537	plants	CRT_OG	
13538	plant	MIS_OG	
13539	plant	MIS_OG	
13540	aphid	MIS_OG	
13541	Sitobion avenae	CRT_OG	
13542	plants	CRT_OG	
13543	aphids	CRT_OG	
13544	aphids	CRT_OG	
13545	aphids	CRT_OG	
13546	plant	MIS_OG	
13547	plant	MIS_OG	
13548	plants	CRT_OG	
13549	aphids	CRT_OG	
13550	aphids	CRT_OG	
13551	aphids	CRT_OG	
13552	plant	MIS_OG	
13553	plant	MIS_OG	
13554	broccoli	CRT_OG	
13555	plants	CRT_OG	
13556	aphid	MIS_OG	
13557	B. brassicae	MIS_OG	
13558	broccoli	CRT_OG	
13559	plants	CRT_OG	
13560	broccoli	CRT_OG	
13561	plants	CRT_OG	
13562	aphid	MIS_OG	
13563	B. brassicae	MIS_OG	
13564	B. brassicae	MIS_OG	
13565	aphid	MIS_OG	
13566	plants	CRT_OG	
13567	plants	CRT_OG	
13568	plants	CRT_OG	
13569	insect	MIS_OG	
13570	plant	MIS_OG	
13571	plant	MIS_OG	
13572	plants	CRT_OG	
13573	insect	MIS_OG	
13574	broccoli	CRT_OG	
13575	plants	CRT_OG	
13576	B. brassicae	MIS_OG	
13577	aphid	MIS_OG	
13578	broccoli	CRT_OG	
13579	plants	CRT_OG	
13580	B. brassicae	MIS_OG	
13581	aphid	MIS_OG	
13582	soph	WT_DS	
13583	broccoli	CRT_OG	
13584	plants	CRT_OG	
13585	B. brassicae	MIS_OG	
13586	aphid	MIS_OG	
13587	soph	WT_DS	
13588	soph	WT_DS	
13589	soph	WT_DS	
13590	soph	WT_DS	
13591	soph	WT_DS	
13592	broccoli	CRT_OG	
13593	plants	CRT_OG	
13594	B. brassicae	MIS_OG	
13595	aphid	MIS_OG	
13596	broccoli	CRT_OG	
13597	plants	CRT_OG	
13598	B. brassicae	MIS_OG	
13599	aphid	MIS_OG	
13600	Breast Cancer Resistant Protein	WT_DS,GP	
13601	BCRP	CRT_GP	
13602	BCRP	CRT_GP	
13603	calcium channel	MIS_GP	
13604	BCRP	CRT_GP	
13605	HEK	WT_GP	
13606	human	CRT_OG	
13607	BCRP	CRT_GP	
13608	MLR	WT_GP	
13609	BCRP	CRT_GP	
13610	BCRP	CRT_GP	
13611	BCRP	CRT_GP	
13612	BCRP	CRT_GP	
13613	BCRP	CRT_GP	
13614	BCRP	CRT_GP	
13615	BCRP	CRT_GP	
13616	human	CRT_OG	
13617	HIV	CRT_OG	
13618	protease	WS_GP	
13619	cancer	CRT_DS	
13620	efflux proteins	MIS_GP	
13621	transporter	MIS_GP	
13622	tumor	CRT_DS	
13623	efflux proteins	MIS_GP	
13624	Breast cancer resistant protein	WT_DS,GP	
13625	BCRP	CRT_GP	
13626	ABCP	CRT_GP	
13627	MXR	CRT_GP	
13628	ABCG2	CRT_GP	
13629	transporter	MIS_GP	
13630	ATP binding cassette	MIS_GP	
13631	ABC	MIS_GP	
13632	BCRP	CRT_GP	
13633	BCRP	CRT_GP	
13634	BCRP	CRT_GP	
13635	BCRP	CRT_GP	
13636	P-gp	MIS_GP	
13637	BCRP	CRT_GP	
13638	animal	MIS_OG	
13639	BCRP	CRT_GP	
13640	BCRP	CRT_GP	
13641	BCRP	CRT_GP	
13642	human	CRT_OG	
13643	HEK	WT_GP	
13644	BCRP	CRT_GP	
13645	BCRP	CRT_GP	
13646	ABC transporter	MIS_GP	
13647	calcium channel	MIS_GP	
13648	hormones	MIS_GP	
13649	BCRP	CRT_GP	
13650	BCRP	CRT_GP	
13651	MLR	WT_GP	
13652	MLR	WT_GP	
13653	BCRP	CRT_GP	
13654	HEK	WT_GP	
13655	HEK	WT_GP	
13656	BCRP	CRT_GP	
13657	BCRP	CRT_GP	
13658	HEK	WT_GP	
13659	HEK	WT_GP	
13660	BCRP	CRT_GP	
13661	BCRP	CRT_GP	
13662	ESP	WT_GP	
13663	BCRP	CRT_GP	
13664	ESP	WT_GP	
13665	ESP	WT_GP	
13666	ESP	WT_GP	
13667	ESP	WT_GP	
13668	ESP	WT_GP	
13669	BCRP	CRT_GP	
13670	BCRP	CRT_GP	
13671	efflux proteins	MIS_GP	
13672	transporters	MIS_GP	
13673	BCRP	CRT_GP	
13674	ABC transporters	MIS_GP	
13675	ESP	WT_GP	
13676	ESP	WT_GP	
13677	BCRP	CRT_GP	
13678	BCRP	CRT_GP	
13679	ESP	WT_GP	
13680	ESP	WT_GP	
13681	BCRP	CRT_GP	
13682	BCRP	CRT_GP	
13683	BCRP	CRT_GP	
13684	complement regulatory proteins	MIS_GP	
13685	BCRP	CRT_GP	
13686	BCRP	CRT_GP	
13687	efflux proteins	MIS_GP	
13688	protein kinase	MIS_GP	
13689	tumors	CRT_DS	
13690	cancer	CRT_DS	
13691	ABC transporters	MIS_GP	
13692	Breast Cancer Resistant Protein	WT_DS,GP	
13693	BCRP	CRT_GP	
13694	ABC transporters	MIS_GP	
13695	BCRP	CRT_GP	
13696	BCRP	CRT_GP	
13697	yeast	CRT_OG	
13698	insect	MIS_OG	
13699	ABC transporter	MIS_GP	
13700	human	CRT_OG	
13701	BCRP	CRT_GP	
13702	BCRP	CRT_GP	
13703	ABC transporters	MIS_GP	
13704	efflux proteins	MIS_GP	
13705	MDR-1	MIS_GP	
13706	ABCG2	CRT_GP	
13707	ABC transporters	MIS_GP	
13708	hypertension	CRT_DS	
13709	cancer	CRT_DS	
13710	cancer	CRT_DS	
13711	human	CRT_OG	
13712	BCRP	CRT_GP	
13713	BCRP	CRT_GP	
13714	BCRP	CRT_GP	
13715	multi-drug transporters	MIS_GP	
13716	BCRP	CRT_GP	
13717	BCRP	CRT_GP	
13718	BCRP	CRT_GP	
13719	BCRP	CRT_GP	
13720	BCRP	CRT_GP	
13721	BCRP	CRT_GP	
13722	BCRP	CRT_GP	
13723	BCRP	CRT_GP	
13724	BCRP	CRT_GP	
13725	BCRP	CRT_GP	
13726	BCRP	CRT_GP	
13727	BCRP	CRT_GP	
13728	BCRP	CRT_GP	
13729	efflux proteins	MIS_GP	
13730	BCRP	CRT_GP	
13731	BCRP	CRT_GP	
13732	poly ADP ribose polymerase	MIS_GP	
13733	PARP	CRT_GP	
13734	cancers	CRT_DS	
13735	BRCA	MIS_GP	
13736	breast cancer	WS_DS	
13737	BCRP	CRT_GP	
13738	MLR	WT_GP	
13739	BCRP	CRT_GP	
13740	BCRP	CRT_GP	
13741	BCRP	CRT_GP	
13742	HEK	WT_GP	
13743	human	CRT_OG	
13744	HEK	WT_GP	
13745	BCRP	CRT_GP	
13746	HEK	WT_GP	
13747	HEK	WT_GP	
13748	HEK	WT_GP	
13749	BCRP	CRT_GP	
13750	BCRP	CRT_GP	
13751	HEK	WT_GP	
13752	ESP	WT_GP	
13753	ESP	WT_GP	
13754	ESP	WT_GP	
13755	ESP	WT_GP	
13756	ESP	WT_GP	
13757	ESP	WT_GP	
13758	MLR	WT_GP	
13759	BCRP	CRT_GP	
13760	CHL	WT_GP	
13761	Piwi	MIS_GP	
13762	Mice	CRT_OG	
13763	PIWI	CRT_GP	
13764	Human	CRT_OG	
13765	piwi	MIS_GP	
13766	piwi	MIS_GP	
13767	HIWI	CRT_GP	
13768	PIWIL1	CRT_GP	
13769	CD34	CRT_GP	
13770	HIWI	CRT_GP	
13771	human	CRT_OG	
13772	leukemia	CRT_DS	
13773	piwi	MIS_GP	
13774	mice	CRT_OG	
13775	Miwi2	CRT_GP	
13776	Piwil4	CRT_GP	
13777	Mice	CRT_OG	
13778	piwi	MIS_GP	
13779	Miwi	CRT_GP	
13780	Mili	CRT_GP	
13781	Miwi2	CRT_GP	
13782	mice	CRT_OG	
13783	PIWI	CRT_GP	
13784	piwi	MIS_GP	
13785	piwi	MIS_GP	
13786	animal	MIS_OG	
13787	Human	CRT_OG	
13788	CD34	CRT_GP	
13789	CD34	CRT_GP	
13790	human	CRT_OG	
13791	Drosophila	CRT_OG	
13792	piwi	MIS_GP	
13793	PIWIL1	CRT_GP	
13794	HIWI	CRT_GP	
13795	CD34	CRT_GP	
13796	human	CRT_OG	
13797	piwi	MIS_GP	
13798	human	CRT_OG	
13799	HIWI	CRT_GP	
13800	mice	CRT_OG	
13801	piwi	MIS_GP	
13802	PIWIL2	CRT_GP	
13803	Mili	CRT_GP	
13804	piwi	MIS_GP	
13805	mice	CRT_OG	
13806	PIWI	CRT_GP	
13807	PIWI	CRT_GP	
13808	PIWI	CRT_GP	
13809	piwi	MIS_GP	
13810	Drosophila	CRT_OG	
13811	C. elegans	CRT_OG	
13812	mice	CRT_OG	
13813	humans	CRT_OG	
13814	piwi-like genes	WS_GP	
13815	Arabidopsis	CRT_OG	
13816	PIWI	CRT_GP	
13817	animal	MIS_OG	
13818	plant	MIS_OG	
13819	piwi	MIS_GP	
13820	piwi	MIS_GP	
13821	PIWI	CRT_GP	
13822	gastric cancers	CRT_DS	
13823	seminomas	CRT_DS	
13824	testicular cancers	CRT_DS	
13825	human	CRT_OG	
13826	piwi	MIS_GP	
13827	cancer	CRT_DS	
13828	cancer	CRT_DS	
13829	P16INK4a	CRT_GP	
13830	tumor suppressor	WT_DS,GP	
13831	INK4	MIS_GP	
13832	ARF	CRT_GP	
13833	human	CRT_OG	
13834	PIWIL4	CRT_GP	
13835	P16INK4a	CRT_GP	
13836	P16INK4	CRT_GP	
13837	INK4	MIS_GP	
13838	ARF	CRT_GP	
13839	leukemia	CRT_DS	
13840	PIWI	CRT_GP	
13841	PIWI	CRT_GP	
13842	piwi	MIS_GP	
13843	mouse	CRT_OG	
13844	piwi	MIS_GP	
13845	Miwi	CRT_GP	
13846	Piwil1	CRT_GP	
13847	Mili	CRT_GP	
13848	Piwil2	CRT_GP	
13849	Miwi2	CRT_GP	
13850	Piwil4	CRT_GP	
13851	piwi	MIS_GP	
13852	Animal	MIS_OG	
13853	Animal	MIS_OG	
13854	Animal	MIS_OG	
13855	Mouse	CRT_OG	
13856	Piwi	MIS_GP	
13857	mice	CRT_OG	
13858	Mice	CRT_OG	
13859	piwi	MIS_GP	
13860	mice	CRT_OG	
13861	Miwi	CRT_GP	
13862	Piwil1	CRT_GP	
13863	Mili	CRT_GP	
13864	Piwil2	CRT_GP	
13865	Miwi2	CRT_GP	
13866	Piwil4	CRT_GP	
13867	CD45.2	MIS_GP	
13868	CD45.1	MIS_GP	
13869	CD45.1	WS_GP	
